m_name,m_surname,m_email,m_birth_year,m_birth_month,m_birth_day,m_group,m_rating,m_phone_number
Іван,Кравченко,ivan.kravchenko@student.org,1970,8,13,NXE-49,94.23,38(050)76-70-965
Дмитро,Гладко,dmytro.hladko@student.org,1995,8,9,LTJ-55,27.34,38(063)74-58-940
Остап,Король,ostap.korol@student.org,1985,1,14,WWU-13,4.91,38(096)10-61-977
Любов,Марченко,lyubov.marchenko@student.org,1986,7,2,VET-47,40.85,38(066)19-82-831
Павло,Гайдук,pavlo.hayduk@student.org,1975,4,9,DHS-92,8.53,38(068)12-34-790
Віталій,Новік,vitaliy.novik@student.org,1977,12,4,EJE-20,1.29,38(098)76-16-556
Юлія,Рибак,yuliya.rybak@student.org,2005,10,19,UFI-24,96.8,38(068)96-90-907
Костянтин,Поліщук,kostyantyn.polishchuk@student.org,1977,8,21,WMT-69,82.48,38(063)91-64-891
Юлія,Дорошенко,yuliya.doroshenko@student.org,1963,4,9,TDY-78,88.48,38(073)51-85-527
Андрій,Ковальчук,andriy.kovalchuk@student.org,1958,10,8,XBO-96,58.01,38(067)59-10-760
Юлія,Демченко,yuliya.demchenko@student.org,1980,10,22,CJW-21,3.9,38(099)67-49-709
Ярослав,Король,yaroslav.korol@student.org,1955,10,18,IBG-59,65.64,38(073)72-68-530
Денис,Шевчук,denys.shevchuk@student.org,2002,5,15,GNN-28,16.71,38(066)62-33-620
Галина,Бойко,halyna.boyko@student.org,1979,6,12,DYS-79,65.9,38(098)77-66-918
Богдан,Білоус,bohdan.bilous@student.org,1993,4,21,EIO-63,20.92,38(098)22-82-551
Олександр,Демченко,oleksandr.demchenko@student.org,1976,5,19,OGM-36,5.68,38(095)83-21-430
Костянтин,Новік,kostyantyn.novik@student.org,1952,7,13,EHH-99,12.01,38(063)31-73-386
Віталій,Демченко,vitaliy.demchenko@student.org,1994,1,1,MNR-34,13.3,38(063)51-18-602
Михайло,Рибак,mykhaylo.rybak@student.org,2010,5,18,DTJ-21,20.68,38(098)78-49-610
Інна,Гайдук,inna.hayduk@student.org,1978,11,23,QSA-67,97.65,38(067)44-59-867
Вікторія,Король,viktoriya.korol@student.org,2006,1,31,ZEV-93,81.56,38(066)74-87-785
Тарас,Дорошенко,taras.doroshenko@student.org,1970,8,15,PIK-23,5.51,38(095)15-10-468
Андрій,Лебедь,andriy.lebed@student.org,1956,4,2,BSF-26,17.5,38(096)87-17-243
Тарас,Левченко,taras.levchenko@student.org,1958,1,11,XAP-70,42.97,38(097)88-40-557
Лілія,Гордієнко,liliya.hordiyenko@student.org,1991,6,29,WCV-17,61.38,38(095)40-39-966
Раїса,Гордієнко,rayisa.hordiyenko@student.org,1992,6,23,SWH-53,30.63,38(050)26-42-493
Алла,Гриценко,alla.hrytsenko@student.org,1969,2,20,WXL-20,13.55,38(096)80-10-660
Оксана,Білоус,oksana.bilous@student.org,1980,9,12,QIP-28,21.73,38(050)25-10-896
Дмитро,Шевчук,dmytro.shevchuk@student.org,1981,3,6,DKM-25,70.09,38(067)58-26-909
Денис,Бойко,denys.boyko@student.org,1985,7,8,BXF-92,49.96,38(073)80-90-275
Михайло,Романенко,mykhaylo.romanenko@student.org,1990,1,19,FOZ-92,31.91,38(067)96-65-689
Сергій,Руденко,serhiy.rudenko@student.org,1950,7,18,BRN-71,69.2,38(066)72-43-110
Надія,Демченко,nadiya.demchenko@student.org,1974,3,19,FOG-44,98.61,38(068)84-71-237
Станіслав,Гладко,stanislav.hladko@student.org,1958,12,13,QCK-38,66.48,38(096)63-36-382
Петро,Шевченко,petro.shevchenko@student.org,1956,12,7,IHT-89,28.21,38(073)26-46-946
